# timestamp[ns] w.x w.y w.z a.x a.y a.z
1650458715927543879 -0.002492 -0.001792 0.001961 1.312035 -9.847528 -0.112277
1650458715930397034 -0.003493 -0.001792 -0.000040 1.317116 -9.847658 -0.108647
1650458715935372829 -0.000002 -0.007028 0.005196 1.330738 -9.842157 -0.111150
1650458715940350056 -0.001747 -0.000047 -0.000040 1.315138 -9.824578 -0.101805
1650458715945327044 -0.001747 -0.001792 0.003451 1.317725 -9.830517 -0.094966
1650458715950304031 -0.001747 -0.001792 0.005196 1.311264 -9.837455 -0.108225
1650458715955281019 -0.000002 -0.000047 0.003451 1.304584 -9.844007 -0.114971
1650458715960257053 -0.003493 -0.003537 0.003451 1.311303 -9.847329 -0.108246
1650458715965234041 -0.001747 -0.000047 -0.000040 1.300902 -9.839847 -0.105110
1650458715967594862 -0.002575 -0.000875 0.002444 1.297935 -9.844880 -0.108459
1650458715970211029 -0.003493 -0.001792 0.005196 1.294648 -9.850458 -0.112170
1650458715975188017 -0.000002 -0.001792 -0.000040 1.287650 -9.855929 -0.108381
1650458715980165005 -0.005238 -0.003537 0.005196 1.291831 -9.842818 -0.126253
1650458715985141039 0.001743 -0.000047 -0.000040 1.309050 -9.823897 -0.127261
1650458715990118027 -0.003493 -0.000047 0.003451 1.307373 -9.832216 -0.117473
1650458715995095015 -0.000002 -0.005283 0.003451 1.282735 -9.850697 -0.115289
1650458716000072002 -0.001747 -0.000047 0.005196 1.282229 -9.848290 -0.107954
1650458716005048990 -0.003493 -0.001792 0.001706 1.292261 -9.839068 -0.112573
1650458716007644892 -0.001672 -0.000882 0.003526 1.301340 -9.842378 -0.117698
1650458716010025978 -0.000002 -0.000047 0.005196 1.309667 -9.845414 -0.122398
1650458716015002012 -0.000002 -0.001792 0.001706 1.299348 -9.839784 -0.124811
1650458716019979000 -0.001747 -0.001792 -0.000040 1.294799 -9.829284 -0.117104
1650458716024955988 -0.001747 -0.000047 -0.000040 1.317819 -9.851337 -0.114933
1650458716029932976 -0.001747 -0.000047 0.003451 1.301000 -9.840716 -0.099432
1650458716034909964 -0.003493 -0.000047 0.001706 1.302644 -9.836783 -0.103050
1650458716039885998 -0.000002 -0.001792 -0.000040 1.312544 -9.845336 -0.105063
1650458716044862986 -0.001747 -0.003537 -0.000040 1.306543 -9.831229 -0.112926
1650458716047695875 -0.000754 -0.001550 0.000954 1.305507 -9.828918 -0.109368
1650458716049839973 -0.000002 -0.000047 0.001706 1.304722 -9.827168 -0.106674
1650458716054816961 -0.000002 0.001699 0.005196 1.312785 -9.843875 -0.105041
1650458716059793949 -0.001747 -0.000047 -0.000040 1.298072 -9.829996 -0.105006
1650458716064769983 -0.001747 0.003444 -0.000040 1.311415 -9.836441 -0.121547
1650458716069746971 -0.001747 -0.000047 0.003451 1.314457 -9.846347 -0.116371
1650458716074723959 -0.001747 -0.000047 -0.000040 1.289080 -9.837254 -0.098145
1650458716079700947 -0.001747 -0.001792 0.003451 1.301952 -9.844986 -0.095326
1650458716084677935 -0.001747 0.001699 0.003451 1.304485 -9.856100 -0.121243
1650458716087746859 -0.001747 0.002775 0.003451 1.299192 -9.845733 -0.118114
1650458716089653969 -0.001747 0.003444 0.003451 1.295903 -9.839291 -0.116169
1650458716094630957 -0.001747 -0.000047 0.001706 1.312401 -9.828653 -0.105935
1650458716099607944 -0.001747 -0.001792 0.001706 1.314481 -9.845327 -0.105043
1650458716104584932 -0.001747 0.001699 -0.000040 1.314563 -9.837743 -0.087146
1650458716109561920 -0.001747 -0.000047 -0.000040 1.314542 -9.837431 -0.103194
1650458716114538908 -0.001747 0.003444 0.003451 1.314539 -9.837501 -0.104937
1650458716119514942 -0.003493 -0.000047 -0.000040 1.305240 -9.855303 -0.105274
1650458716124491930 -0.000002 -0.000047 0.003451 1.304503 -9.856716 -0.105301
1650458716127797842 -0.001161 -0.000047 0.001132 1.310726 -9.851114 -0.111320
1650458716129468918 -0.001747 -0.000047 -0.000040 1.313872 -9.848283 -0.114362
1650458716134445906 -0.003493 0.001699 0.001706 1.314519 -9.838387 -0.114792
1650458716139421940 -0.000002 -0.000047 0.003451 1.305038 -9.837757 -0.124306
1650458716144398928 -0.005238 -0.005283 0.001706 1.294824 -9.866587 -0.144225
1650458716149375916 -0.001747 -0.000047 0.003451 1.304216 -9.857390 -0.115951
1650458716154352903 -0.000002 -0.000047 -0.000040 1.323948 -9.856614 -0.076327
1650458716159329891 -0.001747 -0.000047 0.001706 1.334178 -9.847368 -0.075338
1650458716164306879 -0.001747 -0.001792 -0.000040 1.314784 -9.817486 -0.094740
1650458716167849064 -0.002990 -0.003034 0.001203 1.307469 -9.839572 -0.130205
1650458716169282913 -0.003493 -0.003537 0.001706 1.304508 -9.848513 -0.144561
1650458716174259901 -0.001747 0.001699 0.005196 1.304290 -9.877679 -0.144735
1650458716179236889 -0.000002 -0.001792 -0.000040 1.304357 -9.847411 -0.124488
1650458716184213877 -0.000002 -0.000047 0.005196 1.294762 -9.836683 -0.104605
1650458716189190865 -0.003493 0.001699 0.001706 1.294722 -9.845531 -0.085565
1650458716194167852 -0.001747 -0.000047 -0.001785 1.295139 -9.845586 -0.086394
1650458716199143887 -0.000002 0.003444 -0.000040 1.305069 -9.846889 -0.105652
1650458716204120874 -0.003493 -0.001792 -0.000040 1.314451 -9.847241 -0.116044
1650458716207898855 -0.002168 -0.001792 0.003935 1.314484 -9.840229 -0.129546
1650458716209097862 -0.001747 -0.001792 0.005196 1.314495 -9.838004 -0.133831
1650458716214074850 -0.001747 -0.000047 -0.000040 1.312413 -9.828264 -0.123800
1650458716219051838 -0.003493 -0.000047 -0.000040 1.287333 -9.826431 -0.111732
1650458716224029064 -0.000002 0.003444 -0.000040 1.315535 -9.827379 -0.075260
1650458716229004860 -0.003493 -0.003537 -0.000040 1.323517 -9.837832 -0.077212
1650458716233981848 -0.000002 -0.000047 -0.000040 1.317555 -9.848173 -0.095207
1650458716238958836 -0.001747 0.001699 0.003451 1.339657 -9.857192 -0.097299
1650458716243936062 -0.001747 -0.000047 0.005196 1.303378 -9.847170 -0.115026
1650458716247949839 -0.000340 -0.002862 0.000973 1.294337 -9.846525 -0.111081
1650458716248911858 -0.000002 -0.003537 -0.000040 1.292170 -9.846371 -0.110135
1650458716253888845 -0.000002 -0.000047 0.003451 1.274954 -9.845356 -0.074601
1650458716258865833 -0.001747 -0.001792 0.003451 1.266515 -9.847498 -0.066199
1650458716263843060 -0.005238 -0.000047 -0.000040 1.211391 -9.817581 -0.054568
1650458716268820047 -0.001747 -0.001792 -0.005276 1.182827 -9.858545 0.009974
1650458716273795843 -0.008729 -0.001792 -0.003530 1.158052 -9.846840 -0.008172
1650458716278772831 -0.012219 -0.001792 -0.007021 1.134575 -9.741800 -0.063103
1650458716283750057 -0.015710 -0.001792 -0.014002 1.232855 -9.923026 -0.111339
1650458716288001060 -0.015710 -0.001792 -0.018475 1.313040 -9.936057 -0.167362
1650458716288727045 -0.015710 -0.001792 -0.019238 1.326736 -9.938282 -0.176930
1650458716293704033 -0.008729 -0.001792 -0.015748 1.391893 -9.778949 -0.172426
1650458716298681021 -0.012219 -0.000047 -0.015748 1.419262 -9.841991 -0.121394
1650458716303658009 -0.005238 -0.001792 -0.015748 1.395036 -9.863912 -0.072845
1650458716308634043 -0.010474 -0.001792 -0.005276 1.366115 -9.848221 -0.086760
1650458716313611031 -0.010474 -0.003537 -0.008766 1.393702 -9.875522 -0.186028
1650458716318588018 -0.012219 -0.005283 -0.005276 1.504320 -9.853001 -0.295306
1650458716323565006 -0.005238 -0.000047 -0.001785 1.664479 -9.839863 -0.418382
1650458716328052044 -0.002090 -0.000047 0.006084 1.719003 -9.802061 -0.415480
1650458716328541040 -0.001747 -0.000047 0.006942 1.724944 -9.797941 -0.415163
1650458716333518028 0.010470 0.001699 0.017414 1.636889 -9.859431 -0.260747
1650458716338495016 0.012215 -0.000047 0.027886 1.477499 -9.932860 -0.164186
1650458716343472004 0.012215 0.008680 0.031376 1.339997 -9.903445 -0.194151
1650458716348448992 0.015706 0.003444 0.033122 1.175918 -9.783690 -0.141780
1650458716353425980 0.019197 0.001699 0.033122 1.005250 -9.788325 0.047705
1650458716358402014 0.012215 0.003444 0.026140 0.896253 -9.876615 0.182564
1650458716363379002 0.008725 -0.000047 0.012178 0.931452 -9.853709 0.155397
1650458716368103027 0.000442 -0.001703 -0.001075 1.090201 -9.839418 0.073896
1650458716368355989 -0.000002 -0.001792 -0.001785 1.098710 -9.838652 0.069528
1650458716373332977 -0.006983 0.001699 -0.005276 1.321410 -9.846772 -0.069763
1650458716378309965 -0.003493 -0.000047 -0.007021 1.498339 -9.832340 -0.217059
1650458716383285999 -0.005238 -0.000047 -0.005276 1.554906 -9.844582 -0.286263
1650458716388262987 -0.000002 -0.000047 0.012178 1.471150 -9.873443 -0.227176
1650458716393239975 0.003489 -0.001792 0.012178 1.311867 -9.819723 -0.083156
1650458716398216963 0.005234 -0.000047 0.012178 1.164313 -9.823547 0.006175
1650458716403193951 -0.001747 -0.000047 0.006942 1.124848 -9.857683 0.009085
1650458716408154011 -0.001747 -0.000047 0.003463 1.189255 -9.835686 -0.071172
1650458716408170938 -0.001747 -0.000047 0.003451 1.189474 -9.835611 -0.071446
1650458716413147926 -0.005238 0.001699 -0.000040 1.290241 -9.849772 -0.163434
1650458716418123960 -0.010474 -0.000047 -0.000040 1.378997 -9.866453 -0.193245
1650458716423100948 -0.000002 -0.000047 -0.003530 1.395562 -9.850412 -0.169515
1650458716428077936 -0.000002 0.003444 0.006942 1.359783 -9.848113 -0.110343
1650458716433054924 0.001743 0.001699 0.003451 1.291967 -9.842223 -0.063584
1650458716438030958 0.001743 0.001699 0.005196 1.228863 -9.833388 -0.054938
1650458716443007946 -0.005238 -0.000047 -0.000040 1.218231 -9.855725 -0.091935
1650458716447984934 -0.000002 -0.000047 0.001706 1.265229 -9.852946 -0.138132
1650458716448204041 -0.000156 0.000030 0.001629 1.267729 -9.852355 -0.138454
1650458716452961922 -0.003493 0.001699 -0.000040 1.322012 -9.839514 -0.145425
1650458716457938910 -0.000002 -0.003537 -0.001785 1.361866 -9.845288 -0.125255
1650458716462914944 -0.001747 -0.001792 -0.000040 1.379267 -9.841344 -0.091729
1650458716467891932 -0.000002 -0.000047 -0.000040 1.364800 -9.837362 -0.051356
1650458716472868919 -0.003493 -0.000047 0.003451 1.326123 -9.850647 -0.054640
1650458716477845907 -0.006983 0.001699 0.003451 1.299307 -9.861303 -0.108873
1650458716482822895 -0.003493 -0.000047 0.001706 1.299560 -9.863660 -0.159187
1650458716487799883 -0.005238 0.005189 0.003451 1.299373 -9.863485 -0.159747
1650458716488255024 -0.004919 0.004710 0.003132 1.299843 -9.862480 -0.156555
1650458716492775917 -0.001747 -0.000047 -0.000040 1.304507 -9.852498 -0.124850
1650458716497752905 -0.000002 -0.001792 0.001706 1.309718 -9.836643 -0.089921
1650458716502729893 -0.000002 -0.003537 -0.000040 1.319793 -9.826183 -0.070106
1650458716507706881 -0.005238 -0.000047 0.005196 1.329798 -9.822186 -0.065199
1650458716512683868 -0.003493 0.001699 -0.000040 1.334409 -9.832594 -0.070537
1650458716517659903 -0.005238 -0.000047 0.003451 1.323738 -9.831058 -0.064587
1650458716522636890 -0.006983 0.001699 0.001706 1.319977 -9.842626 -0.066524
1650458716527613878 -0.006983 0.001699 0.005196 1.324343 -9.851769 -0.091910
1650458716528306007 -0.006983 0.001456 0.004954 1.321260 -9.849457 -0.092192
1650458716532590866 -0.006983 -0.000047 0.003451 1.302169 -9.835142 -0.093941
1650458716537567854 -0.010474 -0.000047 0.006942 1.267736 -9.859297 -0.114141
1650458716542543888 -0.008729 -0.001792 0.005196 1.254772 -9.880500 -0.169841
1650458716547520876 -0.008729 -0.000047 -0.000040 1.266633 -9.838107 -0.211346
1650458716552497864 -0.006983 -0.003537 -0.000040 1.268967 -9.828431 -0.240949
1650458716557474852 -0.000002 0.001699 0.001706 1.282789 -9.834783 -0.229169
1650458716562451839 0.003489 -0.000047 -0.000040 1.342995 -9.831069 -0.152802
1650458716567428827 0.003489 0.001699 -0.000040 1.337207 -9.846080 -0.078184
1650458716568356991 0.002838 0.001373 0.000611 1.324872 -9.848881 -0.083320
1650458716572404861 -0.000002 -0.000047 0.003451 1.271068 -9.861099 -0.105725
1650458716577381849 -0.000002 -0.001792 -0.000040 1.295652 -9.798038 -0.121668
1650458716582358837 0.003489 -0.000047 -0.000040 1.324205 -9.856310 -0.165377
1650458716587336063 0.003489 -0.001792 0.001706 1.343370 -9.865868 -0.168081
1650458716592313051 0.001743 -0.000047 -0.000040 1.321820 -9.818098 -0.095699
1650458716597288847 0.001743 0.003444 0.001706 1.245353 -9.874678 -0.066787
1650458716602265835 -0.000002 -0.001792 -0.000040 1.201869 -9.903066 -0.087446
1650458716607243061 -0.000002 -0.000047 -0.003530 1.222832 -9.826735 -0.075843
1650458716608407974 -0.000002 -0.000047 -0.003530 1.240096 -9.829197 -0.079812
1650458716612220049 -0.000002 -0.000047 -0.003530 1.296585 -9.837253 -0.092797
1650458716617197037 -0.001747 0.006935 -0.005276 1.372306 -9.861711 -0.138853
1650458716622174025 -0.000002 -0.000047 -0.003530 1.428570 -9.809552 -0.145674
1650458716627150059 0.001743 0.001699 -0.001785 1.443380 -9.806083 -0.100612
1650458716632127047 -0.000002 -0.000047 0.006942 1.393549 -9.831466 -0.056088
1650458716637104034 -0.000002 -0.000047 0.001706 1.294902 -9.849565 -0.074810
1650458716642081022 -0.001747 0.001699 0.003451 1.228764 -9.845205 -0.100679
1650458716647058010 -0.000002 -0.003537 0.005196 1.230088 -9.858358 -0.127977
1650458716648458004 -0.000493 -0.003046 0.003723 1.258650 -9.854843 -0.121493
1650458716652034044 -0.001747 -0.001792 -0.000040 1.331602 -9.845868 -0.104930
1650458716657011032 -0.003493 -0.000047 -0.000040 1.431367 -9.842187 -0.064163
1650458716661988020 -0.003493 -0.000047 0.008687 1.460644 -9.842776 -0.039233
1650458716666965008 -0.003493 -0.001792 0.010432 1.432747 -9.802988 -0.034341
1650458716671941996 -0.006983 -0.003537 0.015668 1.323170 -9.834461 -0.097270
1650458716676918983 -0.008729 -0.000047 0.008687 1.193265 -9.859588 -0.186057
1650458716681895018 -0.005238 -0.000047 0.013923 1.142357 -9.846433 -0.213095
1650458716686872005 -0.001747 -0.000047 0.006942 1.191928 -9.836244 -0.190772
1650458716688508987 -0.001173 -0.001195 0.004646 1.214870 -9.839178 -0.183408
1650458716691848993 -0.000002 -0.003537 -0.000040 1.261684 -9.845167 -0.168382
1650458716696825981 0.003489 0.001699 -0.000040 1.307120 -9.870362 -0.084004
